# "All scores of the run."
,value,score,CV,CV_col,model,target,mean,sem
60,1.0,Acc_group,test,CV_28,XGBC,classifier_Selection,0.9375,0.043475521477515794
61,1.0,Acc_group,test,CV_29,XGBC,classifier_Selection,0.9375,0.043475521477515794
62,1.0,Acc_group,test,CV_30,XGBC,classifier_Selection,0.9375,0.043475521477515794
63,1.0,Acc_group,test,CV_31,XGBC,classifier_Selection,0.9375,0.043475521477515794
0,1.0,Acc_group,train,CV_0,RFC,classifier_Selection,1.0,0.0
1,1.0,Acc_group,train,CV_1,RFC,classifier_Selection,1.0,0.0
2,1.0,Acc_group,train,CV_2,RFC,classifier_Selection,1.0,0.0
3,1.0,Acc_group,train,CV_3,RFC,classifier_Selection,1.0,0.0
4,1.0,Acc_group,train,CV_4,RFC,classifier_Selection,1.0,0.0
5,1.0,Acc_group,train,CV_5,RFC,classifier_Selection,1.0,0.0
6,1.0,Acc_group,train,CV_6,RFC,classifier_Selection,1.0,0.0
7,1.0,Acc_group,train,CV_7,RFC,classifier_Selection,1.0,0.0
8,1.0,Acc_group,train,CV_8,RFC,classifier_Selection,1.0,0.0
9,1.0,Acc_group,train,CV_9,RFC,classifier_Selection,1.0,0.0
10,1.0,Acc_group,train,CV_10,RFC,classifier_Selection,1.0,0.0
11,1.0,Acc_group,train,CV_11,RFC,classifier_Selection,1.0,0.0
12,1.0,Acc_group,train,CV_12,RFC,classifier_Selection,1.0,0.0
13,1.0,Acc_group,train,CV_13,RFC,classifier_Selection,1.0,0.0
14,1.0,Acc_group,train,CV_14,RFC,classifier_Selection,1.0,0.0
15,1.0,Acc_group,train,CV_15,RFC,classifier_Selection,1.0,0.0
16,1.0,Acc_group,train,CV_16,RFC,classifier_Selection,1.0,0.0
17,1.0,Acc_group,train,CV_17,RFC,classifier_Selection,1.0,0.0
18,1.0,Acc_group,train,CV_18,RFC,classifier_Selection,1.0,0.0
19,1.0,Acc_group,train,CV_19,RFC,classifier_Selection,1.0,0.0
20,1.0,Acc_group,train,CV_20,RFC,classifier_Selection,1.0,0.0
21,1.0,Acc_group,train,CV_21,RFC,classifier_Selection,1.0,0.0
22,1.0,Acc_group,train,CV_22,RFC,classifier_Selection,1.0,0.0
23,1.0,Acc_group,train,CV_23,RFC,classifier_Selection,1.0,0.0
24,1.0,Acc_group,train,CV_24,RFC,classifier_Selection,1.0,0.0
25,1.0,Acc_group,train,CV_25,RFC,classifier_Selection,1.0,0.0
26,1.0,Acc_group,train,CV_26,RFC,classifier_Selection,1.0,0.0
27,1.0,Acc_group,train,CV_27,RFC,classifier_Selection,1.0,0.0
28,1.0,Acc_group,train,CV_28,RFC,classifier_Selection,1.0,0.0
29,1.0,Acc_group,train,CV_29,RFC,classifier_Selection,1.0,0.0
30,1.0,Acc_group,train,CV_30,RFC,classifier_Selection,1.0,0.0
31,1.0,Acc_group,train,CV_31,RFC,classifier_Selection,1.0,0.0
32,1.0,Acc_group,test,CV_0,RFC,classifier_Selection,0.9375,0.04347552147751578
33,1.0,Acc_group,test,CV_1,RFC,classifier_Selection,0.9375,0.04347552147751578
34,0.0,Acc_group,test,CV_2,RFC,classifier_Selection,0.9375,0.04347552147751578
35,1.0,Acc_group,test,CV_3,RFC,classifier_Selection,0.9375,0.04347552147751578
36,0.0,Acc_group,test,CV_4,RFC,classifier_Selection,0.9375,0.04347552147751578
37,1.0,Acc_group,test,CV_5,RFC,classifier_Selection,0.9375,0.04347552147751578
38,1.0,Acc_group,test,CV_6,RFC,classifier_Selection,0.9375,0.04347552147751578
39,1.0,Acc_group,test,CV_7,RFC,classifier_Selection,0.9375,0.04347552147751578
40,1.0,Acc_group,test,CV_8,RFC,classifier_Selection,0.9375,0.04347552147751578
41,1.0,Acc_group,test,CV_9,RFC,classifier_Selection,0.9375,0.04347552147751578
